# Han-character frequency over the Kanripo corpus (Kanseki Repository, CC BY-SA 4.0).
# Generated by bin/sino_freq.rb on 2026-08-09 · 1.4.0
# 721813636 character tokens · 28368 distinct characters · 4571394 passages · docs = texts containing the character.
# Top 3000 rows carry Unihan kTotalStrokes/kMandarin and BabelStone IDS.
rank	char	count	docs	strokes	pinyin	ids
487	湖	298470	3074	12	hú	⿰氵胡
488	職	297679	3499	18	zhí	⿰耳戠
489	徒	297528	4121	10	tú	⿰彳走
490	滿	296638	4299	14	mǎn	⿰氵㒼
491	俱	296572	4373	10	jù	⿰亻具
492	亡	295635	4183	3	wáng	⿱亠𠃊
493	紀	295251	4184	9	jì	⿰糹己
494	要	294654	4608	9	yào	⿱覀女
495	登	294548	4276	12	dēng	⿱癶豆
496	除	294508	4410	9	chú	⿰阝余
497	但	294438	4377	7	dàn	⿰亻旦
498	遺	294236	4077	15	yí	⿺辶貴
499	臺	293852	3986	14	tái	⿳吉冖至
500	號	291928	4318	13	hào	⿰号虎
501	敬	291594	3940	12	jìng	⿰苟攵
502	獻	290863	3600	20	xiàn	⿰鬳犬
503	隨	289852	4540	14	suí	⿰阝遀
504	良	289666	4191	7	liáng	⿱丶艮
505	衛	289063	3573	15	wèi	⿲彳韋亍
506	誠	288802	4096	13	chéng	⿰訁成
507	康	288328	3749	11	kāng	⿸广隶
508	曲	287808	4163	6	qū	⿻口卄
509	伏	287588	4373	6	fú	⿰亻犬
510	序	287411	4076	7	xù	⿸广予
511	丹	287260	4315	4	dān	⿻⿻⺆一丶
512	每	287187	3947	7	měi	⿱𠂉母
513	寧	285508	3851	14	níng	⿱寍丁
514	丁	284553	3910	2	dīng	⿱一亅
515	再	283040	4198	6	zài	⿱一冉
516	殿	283032	3300	13	diàn	⿰𡱒殳
517	指	282784	4269	9	zhǐ	⿰扌旨
518	戰	282335	3550	16	zhàn	⿰單戈
519	授	281694	4052	11	shòu	⿰扌受
520	計	281535	3934	9	jì	⿰訁十
521	飲	281173	4010	12	yǐn	⿰飠欠
522	離	279906	4509	18	lí	⿰离隹
523	比	279776	4089	4	bǐ	⿰⿺乚一匕
524	畫	279560	3656	12	huà	⿱𤱪一
525	設	279159	3865	11	shè	⿰訁殳
526	魯	278869	3294	15	lǔ	⿱魚日
527	升	278403	3887	4	shēng	⿱㇒廾
528	布	278349	4172	5	bù	⿸𠂇巾
529	輕	277996	4386	14	qīng	⿰車巠
530	仙	277757	4036	5	xiān	⿰亻山
531	遷	276889	3847	15	qiān	⿺辶⿱䙲巳
532	恩	276782	3865	10	ēn	⿱因心
533	昭	275759	3763	9	zhāo	⿰日召
