A273	2
M38A	2
R10A	2
P60B	2
C3	2
E174E	2
M176	2
M24A	2
O285A	2
M40A	2
Z16	2
D205	2
O28B	2
O91	2
N6A	2
A311B	2
T16	2
M21	2
N72	2
A50C	2
G43A	2
A33D	2
F38	2
W42A	2
G51A	2
O18B	2
G133	2
G49E	2
U93	2
S47	2
O9B	2
D66	2
A462	2
A85	1
D59	1
C102H	1
G86	1
O43B	1
M172	1
V65A	1
S37A	1
S14S	1
B19A	1
F38A	1
V2B	1
U24J	1
B6A	1
M121	1
W34	1
A136A	1
T31A	1
U38	1
D220	1
W213	1
V91	1
B8E	1
F205	1
B21B	1
M2A	1
G56	1
C113A	1
G248	1
A16B	1
M85	1
G238	1
Q2B	1
G19	1
G104	1
T25D	1
S106	1
S155	1
P6A	1
A40F	1
Q38	1
U34A	1
E22A	1
G191B	1
F53	1
E166	1
D515	1
N102	1
F66	1
F62	1
G272	1
B49	1
A123	1
F43	1
F113	1
W204	1
K17	1
A420	1
B105	1
R74	1
M198	1
G31B	1
M216	1
G39A	1
E92	1
C39B	1
A206	1
W87	1
D77	1
F46C	1
Q18	1
Q4A	1
W76	1
Q7F	1
D280	1
W220	1
Y23	1
I31C	1
P13	1
R60	1
E17A	1
A43K	1
A73A	1
M96	1
O247	1
E82	1
S43B	1
G229	1
T137	1
G158	1
M66	1
A116	1
U105	1
Z24	1
U14A	1
O190	1
E143B	1
M51	1
E143A	1
O30A	1
S110	1
N200	1
M15A	1
M174	1
A143A	1
W63	1
W57	1
F181	1
W81	1
C169	1
D236A	1
O353	1
A4B	1
F89	1
G143	1
Q24	1
M9B	1
M39B	1
W10S	1
G300	1
A100B	1
D381	1
C161A	1
V202	1
A9C	1
V34	1
W113	1
V6A	1
D396	1
G274	1
S307	1
W118	1
S56	1
O18A	1
G48	1
W50	1
A161	1
S57B	1
Q103	1
A239	1
C268A	1
A14G	1
I86A	1
A14H	1
P68	1
I28	1
A31	1
M207	1
E33	1
C118	1
A137	1
D312	1
N71	1
E208	1
V36B	1
A60A	1
A12C	1
P5B	1
M139	1
A364	1
T80B	1
F144	1
U39F	1
V28E	1
T101	1
M11A	1
O238	1
E316	1
S188B	1
F27A	1
A316	1
M139C	1
D170	1
H18	1
O23A	1
T43	1
U27B	1
O44B	1
I24A	1
M60	1
O206	1
O137	1
C10D	1
U13D	1
G92	1
E83	1
L4	1
O121	1
U22A	1
A300B	1
I18	1
O16A	1
G17A	1
L19	1
P81	1
E147	1
T53A	1
G70	1
K102	1
E217	1
F158A	1
S123A	1
E315	1
A466A	1
E201	1
A372	1
A32H	1
U54	1
F41A	1
A43H	1
A149	1
S57C	1
H41	1
U68	1
G144	1
A68	1
E312	1
O51A	1
N28C	1
S311	1
V47	1
T63	1
I106A	1
F29A	1
E216	1
S310	1
D516	1
H5A	1
P2F	1
I84A	1
I19	1
A441A	1
D518	1
F47A	1
F37N	1
M143	1
F30A	1
H46	1
P60A	1
D156	1
U210	1
O237	1
E314	1
E313	1
S309	1
T126	1
I24	1
B7I	1
A23A	1
O42C	1
P112	1
P28	1
A394	1
B13	1
R18C	1
A110	1
A141	1
P35	1
P5H	1
V90	1
G111	1
E100	1
A6J	1
W17C	1
G30A	1
T7B	1
S104	1
O13D	1
M3C	1
P19	1
B3B	1
C23	1
E92D	1
A248	1
D287	1
A332	1
A413	1
H39	1
A14B	1
M32A	1
T90	1
A311C	1
A304F	1
R62A	1
M97	1
E151A	1
T29A	1
B21D	1
A243	1
A115	1
D288	1
A101D	1
A6E	1
E254	1
C9E	1
A43A	1
P104A	1
I6C	1
G226	1
E100A	1
D200	1
C8	1
T61	1
O9F	1
W117	1
P111	1
A23C	1
G10	1
G215	1
D8D	1
T12B	1
A341	1
A300D	1
G49B	1
D52A	1
F114	1
P27	1
U24C	1
R88	1
D218	1
M170	1
N116	1
O149	1
A497	1
A359	1
E14B	1
S16	1
E177	1
A56	1
E134	1
E244	1
O156	1
E181	1
O14	1
W1B	1
O163	1
G22A	1
M105	1
D76	1
Q6E	1
G213B	1
A2A	1
